algorithm_id,outer_fold_id,inner_fold_id,configuration_id,selection_seed,training_rows,validation_rows,mae,wall_clock_seconds,maximum_prediction_origin,maximum_target_dependency
causal_tcn,1,1,tcn_01,20260725,5248,5251,30.62319282426503,0.23434969100000558,10517,10518
causal_tcn,1,1,tcn_02,20260725,5248,5251,18.139746532908255,0.39126372900000206,10517,10518
causal_tcn,1,2,tcn_01,20260725,10499,5251,16.052826046306144,0.4187263489999964,15768,15769
causal_tcn,1,2,tcn_02,20260725,10499,5251,12.016656564559291,0.7618700880000091,15768,15769
causal_tcn,1,3,tcn_01,20260725,15750,5251,9.762879145131901,0.6289762159999981,21019,21020
causal_tcn,1,3,tcn_02,20260725,15750,5251,8.761549960504787,1.134955258000005,21019,21020
causal_tcn,2,1,tcn_01,20260725,5685,5689,30.02570701203645,0.22809762299999647,11392,11393
causal_tcn,2,1,tcn_02,20260725,5685,5689,17.85710962508311,0.40106208900002116,11392,11393
causal_tcn,2,2,tcn_01,20260725,11374,5689,12.443205412387355,0.44551488700000164,17081,17082
causal_tcn,2,2,tcn_02,20260725,11374,5689,10.85591512298069,0.7994484250000085,17081,17082
causal_tcn,2,3,tcn_01,20260725,17063,5689,9.965871838703913,0.6599648340000215,22770,22771
causal_tcn,2,3,tcn_02,20260725,17063,5689,9.26793445285762,1.194232808999999,22770,22771
causal_tcn,3,1,tcn_01,20260725,6125,6126,29.80272677369486,0.23460525999999504,12269,12270
causal_tcn,3,1,tcn_02,20260725,6125,6126,17.978477094004862,0.43720694999998955,12269,12270
causal_tcn,3,2,tcn_01,20260725,12251,6126,12.43980278672837,0.47803104400000507,18395,18396
causal_tcn,3,2,tcn_02,20260725,12251,6126,10.801051033568726,0.8611350949999803,18395,18396
causal_tcn,3,3,tcn_01,20260725,18377,6126,9.13965088784726,0.7180754089999937,24521,24522
causal_tcn,3,3,tcn_02,20260725,18377,6126,8.922692164175889,1.3094341209999811,24521,24522
causal_tcn,4,1,tcn_01,20260725,6562,6564,27.699213924018917,0.25799622299999214,13144,13145
causal_tcn,4,1,tcn_02,20260725,6562,6564,16.225187046715586,0.4642722350000099,13144,13145
causal_tcn,4,2,tcn_01,20260725,13126,6564,11.462588922269777,0.5045324390000019,19708,19709
causal_tcn,4,2,tcn_02,20260725,13126,6564,10.245506740252328,0.9143322449999971,19708,19709
causal_tcn,4,3,tcn_01,20260725,19690,6564,7.96681065132741,0.7932054970000024,26272,26273
causal_tcn,4,3,tcn_02,20260725,19690,6564,7.889438257411755,1.4424759860000052,26272,26273
gru_sequence,1,1,gru_01,20260725,5248,5251,16.06399776688647,0.334941446000002,10517,10518
gru_sequence,1,1,gru_02,20260725,5248,5251,14.269142811433166,0.6591516450000086,10517,10518
gru_sequence,1,2,gru_01,20260725,10499,5251,8.461216616154383,0.6455061720000117,15768,15769
gru_sequence,1,2,gru_02,20260725,10499,5251,8.865235570277758,1.2569125990000032,15768,15769
gru_sequence,1,3,gru_01,20260725,15750,5251,6.66847156461668,0.9796795649999979,21019,21020
