candidate_id,fold_id,validation_rows,peak_rows,mae,peak_mae,reference_mae,reference_peak_mae,relative_mae_improvement,relative_peak_mae_change,maximum_prediction_origin,maximum_target_dependency
chronos_2_zero_shot,1,1751,184,5.592388134612689,19.09831876671833,4.708802095707962,17.862369874940665,-0.1876456094237022,0.0691928842830419,22774,22775
chronos_2_zero_shot,2,1751,120,4.846532315243864,20.779965245564775,4.2302027975483005,18.18933623088144,-0.1456973925819276,0.1424257038189786,24525,24526
chronos_2_zero_shot,3,1751,25,2.739788869251053,23.730598907470704,2.2717092222885205,20.320255374470992,-0.2060473419617449,0.1678297575572912,26276,26277
chronos_2_zero_shot,4,1751,181,5.79561389280414,21.56501013529235,4.787898889427443,17.249634704493992,-0.2104712373107787,0.2501719894203955,28027,28028
moirai_2_research_zero_shot,1,1751,184,6.165562850270252,21.04333129965741,4.708802095707962,17.862369874940665,-0.3093697133481393,0.178081712952286,22774,22775
moirai_2_research_zero_shot,2,1751,120,5.328583289167665,21.40318557103475,4.2302027975483005,18.18933623088144,-0.2596519704104855,0.1766886542399996,24525,24526
moirai_2_research_zero_shot,3,1751,25,2.8671491551739634,21.66391529541016,2.2717092222885205,20.320255374470992,-0.2621109810372635,0.0661241650844235,26276,26277
moirai_2_research_zero_shot,4,1751,181,6.37683869448476,22.30484746437705,4.787898889427443,17.249634704493992,-0.3318657811604975,0.29306201820993,28027,28028
timesfm_2_5_zero_shot,1,1751,184,6.390564565032228,20.30403305841529,4.708802095707962,17.862369874940665,-0.3571529308605217,0.1366931264199194,22774,22775
timesfm_2_5_zero_shot,2,1751,120,5.48218209310779,22.14183421325684,4.2302027975483005,18.18933623088144,-0.2959620035911988,0.2172975380852509,24525,24526
timesfm_2_5_zero_shot,3,1751,25,3.020901443409552,21.45446995239258,2.2717092222885205,20.320255374470992,-0.3297923051816883,0.0558169450639157,26276,26277
timesfm_2_5_zero_shot,4,1751,181,6.60277822491239,21.971059781069258,4.787898889427443,17.249634704493992,-0.3790554849628367,0.2737115978082253,28027,28028
