configuration_id,method_id,fold_id,weighted_interval_score,peak_state_weighted_interval_score,primary_empirical_coverage,primary_absolute_coverage_error,primary_mean_interval_width_kwh,maximum_rolling_672_absolute_coverage_error,longest_consecutive_miss_run,origin_count,peak_origin_count
aci_2688_0p005,adaptive_absolute_conformal,1,2.69757234681839,9.21753787962343,0.9137635636778983,0.013763563677898327,25.917400224787475,0.041964285714285676,7,1751,184
aci_2688_0p005,adaptive_absolute_conformal,2,2.4704986078933806,10.451427568761574,0.8937749857224443,0.006225014277555729,20.349716963166557,0.02351190476190479,6,1751,120
aci_2688_0p005,adaptive_absolute_conformal,3,1.4428983175509813,14.439404145338921,0.9086236436322102,0.008623643632210132,12.300502678821568,0.07172619047619044,9,1751,25
aci_2688_0p005,adaptive_absolute_conformal,4,2.8180464646789676,9.76375651014945,0.8920616790405482,0.007938320959451795,23.0970083135731,0.026488095238095255,8,1751,181
aci_2688_0p01,adaptive_absolute_conformal,1,2.6778822437989067,9.27727614333656,0.9103369503141062,0.010336950314106197,24.34815001901803,0.027083333333333348,7,1751,184
aci_2688_0p01,adaptive_absolute_conformal,2,2.439973173165118,9.99352038972963,0.8960593946316391,0.003940605368360939,21.628173101353813,0.016071428571428625,6,1751,120
aci_2688_0p01,adaptive_absolute_conformal,3,1.4033360969018733,14.3739175161211,0.9040548258138207,0.004054825813820662,11.712381801584032,0.05535714285714288,12,1751,25
aci_2688_0p01,adaptive_absolute_conformal,4,2.792850989947605,9.848000498871766,0.894346087949743,0.005653912050257004,23.470171090276907,0.016071428571428625,8,1751,181
aci_2688_0p02,adaptive_absolute_conformal,1,2.6597769844397026,9.350835268626012,0.9080525414049114,0.008052541404911406,23.858844775478197,0.01815476190476184,15,1751,184
aci_2688_0p02,adaptive_absolute_conformal,2,2.4231737720855393,9.83984039489796,0.8977727013135351,0.0022272986864648736,21.38301113418196,0.01309523809523816,6,1751,120
aci_2688_0p02,adaptive_absolute_conformal,3,1.3525028077869925,13.446402718526317,0.9011993146773273,0.0011993146773272567,11.960278845852827,0.030059523809523814,9,1751,25
aci_2688_0p02,adaptive_absolute_conformal,4,2.733312998213586,9.6762311936898,0.8966304968589377,0.0033695031410623244,24.04698623097763,0.010119047619047694,11,1751,181
aci_672_0p005,adaptive_absolute_conformal,1,2.687614453783989,9.053427728216036,0.9137635636778983,0.013763563677898327,25.480939659950288,0.03303571428571428,7,1751,184
aci_672_0p005,adaptive_absolute_conformal,2,2.4491668280531274,10.024333932734969,0.8966304968589377,0.0033695031410623244,21.13525603528148,0.016666666666666607,5,1751,120
aci_672_0p005,adaptive_absolute_conformal,3,1.4361251953575527,14.027213039745039,0.8972015990862364,0.002798400913763599,12.346196765001212,0.051785714285714324,20,1751,25
aci_672_0p005,adaptive_absolute_conformal,4,2.813158629091768,9.485859729404758,0.8966304968589377,0.0033695031410623244,24.315635240203335,0.02857142857142858,8,1751,181
aci_672_0p01,adaptive_absolute_conformal,1,2.6739708470092323,9.09485728964238,0.9097658480868075,0.009765848086807472,25.05896546848097,0.02261904761904765,7,1751,184
aci_672_0p01,adaptive_absolute_conformal,2,2.442537257527838,9.871722938732297,0.8972015990862364,0.002798400913763599,21.811596667593317,0.016666666666666607,6,1751,120
aci_672_0p01,adaptive_absolute_conformal,3,1.3901243440339672,13.641215629608666,0.8994860079954312,0.0005139920045688084,12.222399036401935,0.036904761904761885,12,1751,25
aci_672_0p01,adaptive_absolute_conformal,4,2.794068842562321,9.636884551649407,0.8966304968589377,0.0033695031410623244,24.07469665937354,0.01815476190476184,8,1751,181
aci_672_0p02,adaptive_absolute_conformal,1,2.6323087021671214,9.090130702156333,0.9074814391776128,0.007481439177612792,23.59594185822019,0.015178571428571375,6,1751,184
aci_672_0p02,adaptive_absolute_conformal,2,2.4339732209875113,9.767540529265556,0.8977727013135351,0.0022272986864648736,22.319109370790898,0.012202380952380909,6,1751,120
aci_672_0p02,adaptive_absolute_conformal,3,1.3231172546365,11.961196603268863,0.8989149057681325,0.0010850942318675338,11.872568489568375,0.026488095238095255,7,1751,25
aci_672_0p02,adaptive_absolute_conformal,4,2.744539666131287,9.542245593948609,0.8972015990862364,0.002798400913763599,24.50060232478018,0.013690476190476142,11,1751,181
expanding_all,expanding_absolute_conformal,1,2.8831101754136417,10.484260411782854,0.8800685322672759,0.01993146773272414,21.690030032012103,0.07708333333333339,7,1751,184
expanding_all,expanding_absolute_conformal,2,2.5190176081603424,10.97997670913371,0.9046259280411194,0.004625928041119387,21.041443466532197,0.056845238095238115,8,1751,120
expanding_all,expanding_absolute_conformal,3,1.4651506286508513,13.008580451880128,0.9480296973158195,0.04802969731581952,16.82046977027534,0.08660714285714288,5,1751,25
expanding_all,expanding_absolute_conformal,4,2.9754642644295615,10.81551304858171,0.8583666476299258,0.04163335237007426,18.256168785270784,0.07410714285714293,8,1751,181
rolling_2688,rolling_absolute_conformal,1,2.886139887849084,10.493829138006706,0.881781838949172,0.018218161050828074,21.945314102983705,0.07708333333333339,7,1751,184
rolling_2688,rolling_absolute_conformal,2,2.5173918106908593,11.01875619717714,0.905197030268418,0.005197030268418001,21.00698676508562,0.056845238095238115,8,1751,120
rolling_2688,rolling_absolute_conformal,3,1.4679626399061223,13.05958491873531,0.9463163906339235,0.046316390633923454,16.63334800640119,0.08511904761904765,5,1751,25
rolling_2688,rolling_absolute_conformal,4,3.0552000305409512,11.312669453354502,0.8435179897201599,0.05648201027984012,16.629892725945403,0.09494047619047619,8,1751,181
rolling_672,rolling_absolute_conformal,1,2.791154199394107,9.615328921343082,0.912621359223301,0.012621359223300987,25.75999632681275,0.061309523809523814,9,1751,184
rolling_672,rolling_absolute_conformal,2,2.5100555905826583,10.809584172330688,0.874357509994289,0.02564249000571106,18.199991364953515,0.051785714285714324,8,1751,120
rolling_672,rolling_absolute_conformal,3,1.5059795552813227,12.945758076462822,0.9103369503141062,0.010336950314106197,14.782156058738725,0.06874999999999998,8,1751,25
rolling_672,rolling_absolute_conformal,4,2.890664372993498,10.05776615211383,0.8783552255853798,0.021644774414620205,20.783489537945428,0.057738095238095255,8,1751,181
